student_id,attendance_rate,attendance_trend,avg_score,score_trend,assignments_ontime_pct,avg_submission_delay,library_visits_per_week,failed_subjects,sgpa,sgpa_trend,days_inactive,backlogs,first_gen,is_rural,has_scholarship,lab_hours_per_week,sports_facility_visits,canteen_transactions_per_day,assignments,dropout
STU1000,69.7,4.8,57.1,6.4,97.5,0.0,5.96,0,7.06,0.49,3,0,0,0,0,5.6,3,2.5,6.9,0
STU1001,61.8,-16.1,51.6,-11.3,38.2,6.8,0.28,3,6.11,-0.96,16,2,1,1,0,3.7,0,1.9,6.8,1
STU1002,68.9,5.7,83.1,4.3,90.8,1.5,3.85,0,6.39,0.36,2,0,0,0,0,11.1,1,2.3,8.7,0
STU1003,52.7,-20.0,43.8,-11.3,25.8,6.7,0.73,1,4.3,-1.09,21,3,1,0,0,1.6,1,1.3,3.4,1
STU1004,87.4,-4.8,73.9,-0.1,85.8,0.5,4.61,1,7.81,0.96,2,1,0,0,0,9.6,2,3.8,5.8,0
STU1005,87.1,3.7,68.8,9.2,98.9,0.9,2.87,1,8.42,0.68,0,1,0,0,1,9.4,1,2.7,5.8,0
STU1006,64.8,-13.0,42.0,-4.4,46.2,9.7,0.5,2,6.42,-0.34,7,4,0,0,0,1.5,0,0.8,3.2,1
STU1007,88.2,6.9,87.9,1.4,75.0,0.3,4.1,1,7.15,-0.07,5,0,0,0,1,10.6,2,1.6,9.3,0
STU1008,71.1,-3.8,70.8,6.0,62.3,2.7,3.49,1,7.92,0.77,4,0,0,0,0,8.7,1,3.3,8.0,0
STU1009,81.6,7.8,79.4,-0.9,62.8,1.9,1.62,1,8.23,0.9,3,1,1,0,1,8.2,1,2.6,8.5,0
STU1010,94.0,6.0,84.7,0.7,67.1,2.3,5.13,0,8.56,-0.11,0,0,1,0,0,8.2,3,3.8,5.1,0
STU1011,51.1,-11.7,40.3,-3.6,47.3,3.8,1.4,2,4.14,-0.84,11,3,1,0,1,3.6,0,1.6,6.9,1
STU1012,66.9,-3.2,59.3,5.4,89.8,1.8,5.83,0,7.67,-0.18,0,1,0,0,1,6.9,2,1.5,9.2,0
STU1013,52.6,-14.2,40.7,-11.8,32.6,4.8,0.68,3,5.34,-1.13,19,4,0,1,0,1.4,0,1.9,1.8,1
STU1014,85.0,-1.6,79.9,5.0,74.3,0.3,4.52,1,7.67,0.95,1,1,0,0,1,10.3,4,2.9,5.9,0
STU1015,96.3,-2.8,89.3,3.4,70.3,1.4,5.91,0,7.22,0.01,2,1,0,1,1,6.1,3,1.8,5.9,0
STU1016,41.6,-15.2,37.3,-9.2,44.1,6.6,0.24,1,4.01,-0.46,14,1,1,1,0,2.6,1,0.8,2.2,1
STU1017,83.6,0.7,67.5,8.7,84.3,0.7,3.74,1,8.12,0.06,5,0,1,0,1,4.4,3,2.7,7.6,0
STU1018,79.0,2.6,64.0,-1.5,84.4,0.9,4.12,0,9.26,0.18,2,0,0,0,0,6.3,4,1.8,7.2,0
STU1019,91.4,7.4,61.9,0.1,85.4,2.7,2.92,1,7.37,0.92,6,1,1,1,1,6.4,3,3.1,6.5,0
STU1020,90.2,8.2,67.7,7.7,64.4,2.5,2.07,1,7.76,0.51,4,0,0,0,1,6.7,1,3.3,8.1,0
STU1021,52.8,-8.4,44.4,-14.2,22.7,3.7,1.26,3,5.13,-1.36,20,4,1,0,1,0.9,0,1.0,3.6,1
STU1022,53.2,-17.3,59.0,-13.2,34.5,3.6,1.5,1,4.75,-1.13,23,1,1,1,0,1.8,1,1.3,4.2,1
STU1023,40.3,-6.6,35.3,-14.0,27.3,3.2,0.27,1,5.05,-0.43,21,1,1,1,1,1.7,1,1.7,2.5,1
STU1024,30.6,-6.3,37.9,-8.1,29.6,6.9,0.98,2,5.8,-1.37,12,3,1,0,1,2.6,1,1.4,2.8,1
STU1025,70.3,7.6,86.3,9.4,66.2,1.9,3.63,0,6.26,0.79,0,0,0,0,1,9.2,2,2.6,8.9,0
STU1026,53.4,-19.3,49.7,-3.0,39.5,6.3,0.47,3,5.74,-1.14,22,4,0,0,1,3.9,0,1.7,3.8,1
STU1027,31.8,-18.7,35.9,-9.2,40.3,4.9,0.6,2,5.04,-0.99,11,1,0,1,1,1.3,0,1.2,3.1,1
STU1028,81.9,-1.5,61.5,-0.1,67.5,2.3,3.08,0,8.2,0.02,0,0,0,0,1,8.4,1,1.9,8.0,0
STU1029,55.3,-12.6,37.0,-12.4,43.9,3.5,1.28,1,5.2,-0.79,9,4,0,0,1,2.8,1,1.3,1.2,1
STU1030,68.8,0.7,55.3,7.6,65.1,0.9,1.58,0,9.37,0.21,3,0,0,0,0,11.4,1,3.5,8.0,0
STU1031,65.0,-2.6,72.3,9.3,64.1,2.6,3.87,0,8.43,0.03,1,0,0,0,0,9.1,2,1.8,5.9,0
STU1032,45.9,-12.0,35.4,-5.4,30.3,9.4,1.45,2,5.16,-1.5,13,1,0,0,0,2.6,1,1.1,1.3,1
STU1033,96.1,-3.9,74.8,8.5,63.3,2.5,3.11,0,6.46,0.55,5,1,1,0,0,10.2,2,1.6,9.7,0
STU1034,72.2,9.6,67.5,-0.6,91.6,2.0,3.74,1,6.07,0.68,4,1,1,1,1,7.9,3,3.1,9.8,0
STU1035,86.6,9.9,65.5,1.7,75.4,1.4,5.26,0,6.46,0.77,5,0,0,0,1,8.7,2,3.9,9.0,0
